# 4E Studio Scene Diagnose,
# Generated,2026-04-18T22:41:43.518Z
# Studio version,3.14.6
# Renderer autoClear,true
# Renderer sortObjects,true
# Renderer shadowMap,true
# Renderer outputColorSpace,srgb
# Camera position,0 1.5000000000000002 3
,
# Project id,mo4o7fjnvyab7e
# Project name,SPATIAL1
# Tracking mode,image
# Image targets,4
# Objects,4
# Journeys,1
,
# Spatial tab active,true
# Spatial iframe,loaded
# Spatial handshake,ready
# Spatial iframe src,https://ar-studio-4e.web.app/spatial/spatial-v7.html
# Spatial iframe clientW,1056
# Spatial iframe clientH,439
# Spatial iframe rect,1056x439
# Spatial canvas attr,662x437
# Spatial canvas style,100% x 100%
# Spatial iframeWin inner,1056x439
# Studio fullscreen,false
# Viewport container rect,1056x439
,
index,name,type,objId,visible,renderOrder,frustumCulled,castShadow,receiveShadow,posX,posY,posZ,scaleX,scaleY,scaleZ,matType,colorWrite,depthWrite,depthTest,transparent,opacity,side
10,XY,Mesh,,true,Infinity,true,false,false,0.000,0.000,0.000,0.743,0.743,0.743,MeshBasicMaterial,true,false,false,true,0.5,Front
11,YZ,Mesh,,false,Infinity,true,false,false,0.000,0.000,0.000,0.000,0.000,0.000,MeshBasicMaterial,true,false,false,true,0.5,Front
12,XZ,Mesh,,true,Infinity,true,false,false,0.000,0.000,0.000,0.743,0.743,0.743,MeshBasicMaterial,true,false,false,true,0.5,Front
13,XYZE,Mesh,,true,Infinity,true,false,false,0.000,0.000,0.000,1.000,1.000,1.000,MeshBasicMaterial,true,false,false,true,1,Front
14,X,Mesh,,true,Infinity,true,false,false,0.000,0.000,0.000,1.000,1.000,1.000,MeshBasicMaterial,true,false,false,true,1,Front
15,Y,Mesh,,true,Infinity,true,false,false,0.000,0.000,0.000,1.000,1.000,1.000,MeshBasicMaterial,true,false,false,true,1,Front
16,Z,Mesh,,true,Infinity,true,false,false,0.000,0.000,0.000,1.000,1.000,1.000,MeshBasicMaterial,true,false,false,true,1,Front
17,E,Mesh,,true,Infinity,true,false,false,0.000,0.000,0.000,1.000,1.000,1.000,MeshBasicMaterial,true,false,false,true,0.25,Front
18,X,Mesh,,true,Infinity,true,false,false,0.000,0.000,0.000,1.000,1.000,1.000,MeshBasicMaterial,true,false,false,true,1,Front
19,X,Mesh,,true,Infinity,true,false,false,0.000,0.000,0.000,1.000,1.000,1.000,MeshBasicMaterial,true,false,false,true,1,Front
20,X,Mesh,,true,Infinity,true,false,false,0.000,0.000,0.000,1.000,1.000,1.000,MeshBasicMaterial,true,false,false,true,1,Front
21,Y,Mesh,,true,Infinity,true,false,false,0.000,0.000,0.000,1.000,1.000,1.000,MeshBasicMaterial,true,false,false,true,1,Front
22,Y,Mesh,,true,Infinity,true,false,false,0.000,0.000,0.000,1.000,1.000,1.000,MeshBasicMaterial,true,false,false,true,1,Front
23,Y,Mesh,,true,Infinity,true,false,false,0.000,0.000,0.000,1.000,1.000,1.000,MeshBasicMaterial,true,false,false,true,1,Front
24,Z,Mesh,,true,Infinity,true,false,false,0.000,0.000,0.000,1.000,1.000,1.000,MeshBasicMaterial,true,false,false,true,1,Front
25,Z,Mesh,,true,Infinity,true,false,false,0.000,0.000,0.000,1.000,1.000,1.000,MeshBasicMaterial,true,false,false,true,1,Front
26,Z,Mesh,,true,Infinity,true,false,false,0.000,0.000,0.000,1.000,1.000,1.000,MeshBasicMaterial,true,false,false,true,1,Front
27,XY,Mesh,,true,Infinity,true,false,false,0.000,0.000,0.000,1.000,1.000,1.000,MeshBasicMaterial,true,false,false,true,0.5,Front
28,YZ,Mesh,,true,Infinity,true,false,false,0.000,0.000,0.000,1.000,1.000,1.000,MeshBasicMaterial,true,false,false,true,0.5,Front
29,XZ,Mesh,,true,Infinity,true,false,false,0.000,0.000,0.000,1.000,1.000,1.000,MeshBasicMaterial,true,false,false,true,0.5,Front
30,XYZ,Mesh,,true,Infinity,true,false,false,0.000,0.000,0.000,1.000,1.000,1.000,MeshBasicMaterial,true,false,false,true,0.25,Front
31,X,Mesh,,true,Infinity,true,false,false,0.000,0.000,0.000,0.743,0.743,0.743,MeshBasicMaterial,true,false,false,true,0.15,Front
32,X,Mesh,,true,Infinity,true,false,false,0.000,0.000,0.000,0.743,0.743,0.743,MeshBasicMaterial,true,false,false,true,0.15,Front
33,Y,Mesh,,true,Infinity,true,false,false,0.000,0.000,0.000,0.743,0.743,0.743,MeshBasicMaterial,true,false,false,true,0.15,Front
34,Y,Mesh,,true,Infinity,true,false,false,0.000,0.000,0.000,0.743,0.743,0.743,MeshBasicMaterial,true,false,false,true,0.15,Front
35,Z,Mesh,,true,Infinity,true,false,false,0.000,0.000,0.000,0.743,0.743,0.743,MeshBasicMaterial,true,false,false,true,0.15,Front
36,Z,Mesh,,true,Infinity,true,false,false,0.000,0.000,0.000,0.743,0.743,0.743,MeshBasicMaterial,true,false,false,true,0.15,Front
37,XYZ,Mesh,,true,Infinity,true,false,false,0.000,0.000,0.000,0.743,0.743,0.743,MeshBasicMaterial,true,false,false,true,0.15,Front
38,XY,Mesh,,true,Infinity,true,false,false,0.000,0.000,0.000,0.743,0.743,0.743,MeshBasicMaterial,true,false,false,true,0.15,Front
39,YZ,Mesh,,false,Infinity,true,false,false,0.000,0.000,0.000,0.000,0.000,0.000,MeshBasicMaterial,true,false,false,true,0.15,Front
40,XZ,Mesh,,true,Infinity,true,false,false,0.000,0.000,0.000,0.743,0.743,0.743,MeshBasicMaterial,true,false,false,true,0.15,Front
41,XYZE,Mesh,,true,Infinity,true,false,false,0.000,0.000,0.000,1.000,1.000,1.000,MeshBasicMaterial,true,false,false,true,0.15,Front
42,X,Mesh,,true,Infinity,true,false,false,0.000,0.000,0.000,1.000,1.000,1.000,MeshBasicMaterial,true,false,false,true,0.15,Front
43,Y,Mesh,,true,Infinity,true,false,false,0.000,0.000,0.000,1.000,1.000,1.000,MeshBasicMaterial,true,false,false,true,0.15,Front
